idx;date;rubro;subrubro;detalle;BANCIEN S.A;BANCAMIA;BANCO W S.A.;BANCOOMEVA;BANCO FALABELLA S.A.;BANCO PICHINCHA S.A.;BANCO MUNDO MUJER S.A.;LULO BANK S.A.
55;2021-12-31 00:00:00;ACTIVOS;CARTERA DE CREDITOS Y OPERACIONES DE LEASING;CARTERA Y OPERACIONES DE LEASING COMERCIALES;0;122324.13;149903.85;635726.75;0;651451.68;246432.21;0
56;2021-12-31 00:00:00;ACTIVOS;CARTERA DE CREDITOS Y OPERACIONES DE LEASING;CARTERA Y OPERACIONES DE LEASING DE CONSUMO;0;8206.64;72461.96;1960332.55;5122428.17;1727938.36;208401.27;13
57;2021-12-31 00:00:00;ACTIVOS;CARTERA DE CREDITOS Y OPERACIONES DE LEASING;CARTERA Y LEASING DE MICROCRÉDITOS;0;1498383.4;1288707.97;0;0;0;1555301.11;0
58;2021-12-31 00:00:00;ACTIVOS;CARTERA DE CREDITOS Y OPERACIONES DE LEASING;CARTERA DE VIVIENDA Y OPERACIONES DE  LEASING HABITACIONAL;0;16563.49;0;1428657.96;0;0;0;0
59;2021-12-31 00:00:00;ACTIVOS;CARTERA DE CREDITOS Y OPERACIONES DE LEASING;DETERIORO;0;99944.84;164879.03;219938.49;235340.7;147496.44;130684.96;0.2
60;2021-12-31 00:00:00;ACTIVOS;CARTERA DE CREDITOS Y OPERACIONES DE LEASING;DETERIORO (DETERIORO) CRÉDITOS Y OPERACIONES DE LEASING COMERCIALES;0;6242.71;18251.13;29174.97;0;22195.6;11221.78;0
61;2021-12-31 00:00:00;ACTIVOS;CARTERA DE CREDITOS Y OPERACIONES DE LEASING;DETERIORO (DETERIORO) CARTERA  Y OPERACIONES DE LEASING DE CONSUMO;0;551.73;5739.9;150540.88;235340.7;125300.84;9976.17;0.2
62;2021-12-31 00:00:00;ACTIVOS;CARTERA DE CREDITOS Y OPERACIONES DE LEASING;DETERIORO (DETERIORO)  MICROCRÉDITOS;0;78595.55;107348.53;0;0;0;109487.01;0
63;2021-12-31 00:00:00;ACTIVOS;CARTERA DE CREDITOS Y OPERACIONES DE LEASING;DETERIORO (DETERIORO) CARTERA DE VIVIENDA Y LEASING HABITACIONAL;0;339.74;0;40222.64;0;0;0;0
64;2021-12-31 00:00:00;ACTIVOS;CARTERA DE CREDITOS Y OPERACIONES DE LEASING;OTROS DETERIOROS;0;14215.11;33539.47;0;0;0;0;0
65;2021-12-31 00:00:00;ACTIVOS;CARTERA DE CREDITOS Y OPERACIONES DE LEASING;DETERIORO COMPONENTE CONTRACICLICO;0;1988.26;3631.66;46623.25;85749.09;29963.16;6208.19;0.17
66;2021-12-31 00:00:00;ACTIVOS;CARTERA DE CREDITOS Y OPERACIONES DE LEASING;CRÉDITOS Y OPERACIONES DE LEASING DE CONSUMO;0;166.17;1114.14;42523.1;85749.09;23435.38;2996.38;0.17
67;2021-12-31 00:00:00;ACTIVOS;CARTERA DE CREDITOS Y OPERACIONES DE LEASING;CRÉDITOS Y OPERACIONES DE LEASING COMERCIALES;0;1822.09;2517.52;4100.15;0;6527.78;3211.81;0
68;2021-12-31 00:00:00;ACTIVOS;OTROS ACTIVOS;0;0;289808.1;367501.53;200144.67;421953.53;202880.5;153438.81;113422.76
69;2021-12-31 00:00:00;ACTIVOS;OTROS ACTIVOS;CUENTAS POR COBRAR;0;120534.14;116899.41;118343.95;238088.28;70132.75;42753.01;2350.95
